600	"10079770"	1	"Sand and Gravel, Construction"	"SDG"	"Non-metallic"	"Sand and Gravel"	"Primary"	"MRDS migration"	"29-OCT-2002 09:00:24"	"USGS"	"29-OCT-2002 09:01:03"
691	"10079770"	2	"Titanium, Metal"	"TI_M"	"Metallic"	"Titanium"	"Tertiary"	"MRDS migration"	"29-OCT-2002 09:00:24"	"USGS"	"29-OCT-2002 09:01:03"
692	"10079770"	3	"Zirconium"	"ZR"	"Metallic"	"Zirconium"	"Tertiary"	"MRDS migration"	"29-OCT-2002 09:00:24"	"USGS"	"29-OCT-2002 09:01:03"
693	"10079770"	4	"Kyanite"	"KYN"	"Non-metallic"	"Andalusite-Kyanite-Sillmanite"	"Tertiary"	"MRDS migration"	"29-OCT-2002 09:00:24"	"USGS"	"29-OCT-2002 09:01:03"
1985	"10079770"	5	"REE"	"REE"	"Metallic"	"REE"	"Tertiary"	"MRDS migration"	"29-OCT-2002 09:00:24"	"USGS"	"29-OCT-2002 09:01:03"
3656	"10083765"	1	"Gold"	"AU"	"Metallic"	"Gold"	"Primary"	"USGS"	"19-JUN-2003 12:25:42"	""	""
3826	"10083762"	1	"Gold"	"AU"	"Metallic"	"Gold"	"Primary"	"USGS"	"19-JUN-2003 12:25:42"	""	""
3827	"10083764"	1	"Gold"	"AU"	"Metallic"	"Gold"	"Primary"	"USGS"	"19-JUN-2003 12:25:42"	""	""
3828	"10083766"	2	"Silver"	"AG"	"Metallic"	"Silver"	"Secondary"	"USGS"	"19-JUN-2003 12:25:42"	""	""
4066	"10083763"	1	"Gold"	"AU"	"Metallic"	"Gold"	"Primary"	"USGS"	"19-JUN-2003 12:25:42"	""	""
4208	"10064731"	1	"Sand and Gravel, Construction"	"SDG"	"Non-metallic"	"Sand and Gravel"	"Primary"	"USGS"	"19-JUN-2003 12:25:41"	""	""
6301	"10084702"	1	"Gold"	"AU"	"Metallic"	"Gold"	"Primary"	"USGS"	"19-JUN-2003 12:25:41"	""	""
6642	"10083981"	1	"Iron"	"FE"	"Metallic"	"Iron"	"Primary"	"USGS"	"19-JUN-2003 12:25:41"	""	""
6643	"10083982"	1	"Iron"	"FE"	"Metallic"	"Iron"	"Primary"	"USGS"	"19-JUN-2003 12:25:41"	""	""
6644	"10083983"	1	"Iron"	"FE"	"Metallic"	"Iron"	"Primary"	"USGS"	"19-JUN-2003 12:25:41"	""	""
6657	"60001696"	1	"Kyanite"	"KYN"	"Non-metallic"	"Andalusite-Kyanite-Sillmanite"	"Primary"	"MRDS migration"	"30-SEP-2007 00:00:00"	""	""
7401	"60000968"	5	"Platinum"	"PGE_PT"	"Metallic"	"PGE"	"Tertiary"	"MRDS migration"	"30-SEP-2007 00:00:00"	""	""
7402	"60000968"	4	"Lead"	"PB"	"Metallic"	"Lead"	"Secondary"	"MRDS migration"	"30-SEP-2007 00:00:00"	""	""
7403	"60000968"	3	"Copper"	"CU"	"Metallic"	"Copper"	"Secondary"	"MRDS migration"	"30-SEP-2007 00:00:00"	""	""
7404	"60000968"	2	"Zinc"	"ZN"	"Metallic"	"Zinc"	"Secondary"	"MRDS migration"	"30-SEP-2007 00:00:00"	""	""
8511	"60000864"	2	"Zirconium"	"ZR"	"Metallic"	"Zirconium"	"Primary"	"MRDS migration"	"30-SEP-2007 00:00:00"	""	""
8512	"60000864"	1	"Titanium"	"TI"	"Metallic"	"Titanium"	"Primary"	"MRDS migration"	"30-SEP-2007 00:00:00"	""	""
